"u,N,18,0","v,N,18,0","name,C,80"
283789846,283795209,Avenida Victor Andres Belaunde
283789846,286866810,Avenida Victor Andres Belaunde
283795209,1396135809,Lazo de los Rios
283795209,4682408335,Lazo de los Rios
283812502,873867970,Avenida Emmel
283812502,1264292334,Calle Javier Delgado
283812502,5208947857,Avenida Emmel
283812507,10062503682,Avenida Jose Abelardo Quinones
283812507,283812509,Avenida Emmel
283812507,1252919040,Avenida Emmel
283812507,10062503685,Avenida Jose Abelardo Quinones
283812509,10062503684,Avenida Jose Abelardo Quinones
283812509,1264360471,Avenida Emmel
283812509,10062503683,Avenida Jose Abelardo Quinones
283814466,1252919040,Avenida Emmel
283814466,5208947860,Avenida Emmel
283814466,5208947864,Calle Julio Ernesto Portugal
286866805,286866810,
286866805,11010994631,Avenida Victor Andres Belaunde
286866805,5693791866,Avenida Victor Andres Belaunde
286866810,11010994632,Avenida Victor Andres Belaunde
287889414,1198315931,
287889414,1264343694,"['Avenida Miguel Forga', 'Variante Uchumayo']"
287889414,11002056720,Variante Uchumayo
303567295,11008718139,Avenida San Martin
303567295,303567317,Calle Felipe Santiago Salaverry
303567295,10920891207,Avenida de la Marina
303567295,5200768339,Avenida de la Marina
303567317,11008718138,Avenida de la Marina
303567317,5203031705,Calle Felipe Santiago Salaverry
303567317,10920891210,Pasaje Bustamante
409472812,11013404035,Avenida Juan Vidaurrazaga
409472812,1264365120,Avenida Pedro P. Diaz
409472812,1253003144,Avenida Juan Vidaurrazaga
409472812,4020778170,Avenida Pedro P. Diaz
409472813,1252986345,
409472813,11013403961,Avenida Pedro P. Diaz
409472813,1253035248,
409472813,4020778163,Avenida Pedro P. Diaz
409472815,11013404068,Avenida Pedro P. Diaz
409472815,1264303693,Los Zafiros
409472815,5391078854,Los Zafiros
409472815,11013404091,Avenida Pedro P. Diaz
409472817,5391078209,Calle Ambrosio Vucetich
409472817,1264324744,Calle Ambrosio Vucetich
409472817,4020778158,Avenida Pedro P. Diaz
409472817,11013403961,Avenida Pedro P. Diaz
409473092,2087709217,Avenida Arturo Ibanez
409473092,10779219045,
409473092,10907229438,Avenida Arturo Ibanez
461499177,11011286381,Calle Jerusalen
461499177,10885702045,Calle Santa Marta
461499177,1284563454,Calle Jerusalen
461499177,1284563574,Calle Ugarte
461499178,911059921,Calle Santa Marta
461499178,1284563421,Calle Rivero
461499178,4427963954,Calle Rivero
461499178,10885702045,Calle Santa Marta
462009629,1264349178,Calle Mercaderes
462009629,4049211653,Calle Mercaderes
462009629,914202058,Calle Rivero
462009629,4049211656,Calle Nicolas de Pierola
462009631,914202058,Calle San Jose
462009631,1264349178,Calle Peral
462009631,911059921,Calle Peral
462009631,4110755574,Calle San Jose
472283032,1284479843,Veliz
472283032,5379249150,Calle Rivero
472283032,914626999,Calle Rivero
472283033,531252148,Calle Rivero
472283033,10997907532,Juan del la Torre
472283033,531270096,Calle Rivero
472283033,5379249145,Juan del la Torre
531251853,1264342868,
531251864,1284479893,Pasaje Violin
531251864,8692107835,Juan del la Torre
531251864,10885702067,Juan del la Torre
531251889,10885702051,Juan del la Torre
531251889,1284479860,Calle Jerusalen
531251889,6061568161,Thomas Alvares
531251889,8692107835,Juan del la Torre
531251996,1284479843,Carlos Llosa
531251996,531252143,Calle Rivero
531251996,5379249150,Calle Rivero
531252021,1284479860,Carlos Llosa
531252021,6061568168,Pasaje Violin
531252021,873868065,Pasaje Los Cristales
531252021,1264330798,Desaguadero
531252021,1264301856,
531252143,2084081650,Calle Rivero
531252143,531270064,Calle Filtro
531252148,1284479856,Garanios
531252148,6061568161,Juan del la Torre
531252148,531269880,Juan del la Torre
531263579,2099985001,
531263579,1284563504,"['Juan del la Torre', 'Avenida Arequipa']"
531269880,531269963,Calle Peral
531269880,5150516924,Juan del la Torre
531269963,5150516925,Juan del la Torre
531269963,10997907532,Juan del la Torre
531269963,10997907533,Calle Peral
531270051,531270096,Lucas Poblete
531270051,10997907533,Calle Peral
531270051,531270064,Calle Peral
531270051,531270109,Lucas Poblete
531270064,4025045388,Calle Peral
531270064,531270109,Calle Filtro
531270064,11664040834,
531270069,4025046911,Calle Peral
531270069,5180886026,
531270069,4025045388,Calle Peral
531270096,2084081650,Calle Rivero
531270109,5377989886,Calle Saenz Pena
531270109,4536391016,Pasaje Juan Velasco Alvarado
873867970,10923337582,Avenida Emmel
873867970,5375720555,Calle Javier Delgado
873867977,1281950261,Calle Bello Horizonte
873867977,5460698699,Calle Bello Horizonte
873867977,10062503680,Avenida Jose Abelardo Quinones
873868065,6061568168,
873868065,1264342868,Pasaje Los Cristales
876655990,876656039,
876655990,876656091,Calle Toledo
876655990,876655996,Calle Toledo
876655994,4766382434,
876655994,876656108,Calle C??rdoba
876655994,876655996,Calle Toledo
876655996,876656064,Calle Sevilla
876656003,876656003,
876656003,876656017,
876656015,876656064,Calle Burgos
876656015,876656091,"['Calle Burgos', 'Calle Toledo']"
876656015,876656091,
876656016,876656103,
876656016,876656094,
876656016,4318562864,
876656017,4318560742,
876656017,876656103,
876656025,4075488093,Calle la Recoleta
876656025,5412214077,Calle Beaterio
876656025,5379805298,Calle Beaterio
876656046,1264340226,Pasaje de la Catedral
876656046,1264289888,Santa Catalina
876656059,876656103,
876656064,4318560750,Calle Granada
876656094,876656108,
876656094,876656108,
911059921,914103844,Calle Santa Marta
911059921,1284563660,Calle Peral
911059962,4110755574,Calle San Jose
911059962,3946659303,Calle Colon
911059962,4058263259,Siglo XX
911059962,4427984764,Calle Colon
914103783,1264300750,
914103844,1264369170,Calle Colon
914103844,4058263267,Calle Colon
914192142,2087821444,Avenida Salaverry
914192142,1264353981,
914192142,11012886975,Avenida Salaverry
914192146,1264333227,Calle Garcia Calderon
914192146,1264295740,Paz Soldan
914192146,5391127548,Paz Soldan
914192160,1264364404,Calle Garcia Calderon
914192160,5200768339,Avenida de la Marina
914192160,9487193848,Avenida de la Marina
914202058,4427963958,Calle San Jose
914202058,3946583377,Calle Rivero
914626999,5169939759,Calle Ayacucho
914626999,1284563421,Calle Rivero
914626999,4058288099,Calle Ayacucho
1198280880,8375245722,Ovalo Quinonez
1198280880,11010994634,Avenida Victor Andres Belaunde
1198315877,1198315931,
1198315877,3609574253,
1198315877,2084960170,"['Avenida Alfonso Ugarte', 'Avenida Parra']"
1198315877,1198315932,Avenida Alfonso Ugarte
1198315894,10859133119,Avenida Miguel Forga
1198315894,1198315949,
1198315894,2087471699,
1198315894,8374968447,Avenida Miguel Forga
1198315913,10904424548,Avenida Miguel Forga
